type	name	kegg_pathwayid	kegg_pathwayname	kegg_category
gene	AHCYL2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	AHCYL1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	AHCY	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	BCAT2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	BCAT1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	AGXT2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GCLC	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GCLM	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GSS	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	CDO1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GOT1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GOT1L1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	GOT2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MPST	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	TST	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LDHAL6A	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LDHAL6B	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LDHA	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LDHB	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	LDHC	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MDH1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	MDH2	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	SDS	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	SDSL	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	PHGDH	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	PSAT1	hsa00270	Cysteine and methionine metabolism	Amino acid metabolism
gene	BCAT2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	BCAT1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	IL4I1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	BCKDHA	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	BCKDHB	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	DBT	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	DLD	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACADS	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACADM	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	IVD	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACADSB	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACAD8	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HADHA	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	EHHADH	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ECHS1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HADH	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HSD17B10	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACAA1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ACAA2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HADHB	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	PCCA	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	PCCB	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	MCEE	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	MMUT	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HIBCH	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	HIBADH	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ALDH6A1	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ALDH2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
gene	ALDH3A2	hsa00280	Valine, leucine and isoleucine degradation	Amino acid metabolism
